距離[m]	時間	時間(秒換算)
798	2:06:04	7564
1539	2:17:36	8256
1844	2:24:28	8668
2156	2:32:59	9179
2163	2:33:10	9190
2271	2:36:22	9382
2377	2:39:49	9589
3661	3:31:31	12691
4591	4:23:49	15829
4673	4:27:54	16074
5189	5:01:26	18086
5700	5:38:35	20315
6009	6:14:12	22452
6296	6:26:35	23195
6804	7:19:37	26377
7240	7:51:13	28273
7882	9:02:37	32557
7969	9:22:18	33738
8270	9:37:45	34665
8281	9:52:07	35527
8661	10:22:05	37325
9093	11:13:10	40390
9811	12:43:45	45825
10125	13:35:09	48909
10151	13:28:51	48531
10175	13:43:59	49439
10327	13:52:40	49960
10429	14:07:01	50821
10479	14:32:18	52338
10635	14:35:43	52543
10906	15:17:28	55048
10994	15:27:36	55656